COMID,Region,BFS_West,HUC8,ElevCat,ClayCat,SandCat,RckDepCat,Divergence,Slope,Confinement,TotDASqKM
20945230,West,1,11070104,305.0981,30.7106,11.4823,151.2136,0,0.00341186,3,233.8398
21002187,West,1,11060004,326.4845,33.503,14.4317,145.1913,0,0.00046617,1,196.8966
21002187,West,1,11060004,326.4845,33.503,14.4317,145.1913,0,0.00046617,1,196.8966
21165561,West,1,11030013,394.7189,16.4604,53.3179,152.4,0,0.00068196,1,101102.9
21513764,West,1,11070102,274.1881,31.9064,16.2594,113.8988,0,0.0005968,3,1682.143
21513922,West,1,11070102,260.7516,35.5536,7.8824,152.3933,0,0.00103387,1,4.9446
21513978,West,1,11070102,274.2883,34.7429,9.0065,88.4906,0,0.00515524,1,23.9922
21514004,West,1,-9999,263.1792,35.3206,8.2885,134.2375,0,0.00001,3,-9999
21515224,West,1,11070102,369.6075,35.3633,10.0509,105.2571,0,0.00036175,3,167.5962
21515224,West,1,11070102,369.6075,35.3633,10.0509,105.2571,0,0.00036175,3,167.5962
21515260,West,1,11070102,369.9751,36.5143,9.6346,93.1271,0,0.0025261,3,145.9125
21515260,West,1,11070102,369.9751,36.5143,9.6346,93.1271,0,0.0025261,3,145.9125
21516224,West,1,-9999,338.8696,33.4529,11.1948,125.3903,0,0.0000567,1,-9999
21515326,West,1,11070102,362.6405,34.8373,10.8257,132.3416,0,0.00231392,3,248.5368
21516168,West,1,11070102,330.6837,36.5241,10.1354,117.3504,0,0.00240116,3,251.8596
21515330,West,1,11070102,353.5848,36.1129,10.0466,106.4447,0,0.00257175,3,185.7357
21515330,West,1,11070102,353.5848,36.1129,10.0466,106.4447,0,0.00257175,3,185.7357
21515414,West,1,11070102,336.9787,32.9019,11.3653,132.1765,0,0.00144244,3,203.4378
21515434,West,1,11070102,335.0791,30.89,12.5701,152.4,0,0.00119464,3,289.8522
21515550,West,1,11070102,333.4508,33.458,11.4009,139.1354,0,0.00149198,3,550.0692
21515550,West,1,11070102,333.4508,33.458,11.4009,139.1354,0,0.00149198,3,550.0692
21515550,West,1,11070102,333.4508,33.458,11.4009,139.1354,0,0.00149198,3,550.0692
21515658,West,1,11070102,343.1916,34.2767,10.7661,119.921,0,0.00231768,3,209.4093
21515776,West,1,11070102,312.6652,38.1232,9.6095,116.4884,0,0.00001,3,819.6201
21515784,West,1,11070102,316.0271,35.3887,10.7854,130.0649,0,0.00172822,3,826.8876
21516162,West,1,11070102,340.32,36.6794,10.0517,123.6566,0,0.00114046,3,154.8036
20988297,West,1,11060005,317.7256,28.1456,16.3418,152.4,0,0.00001,2,3969.431
21515326,West,1,11070102,362.6405,34.8373,10.8257,132.3416,0,0.00231392,3,248.5368
400380,West,1,-9999,214.9032,36.483,22.7704,146.8069,3,0.00288461,2,-9999
